Nomor Kontrak,Nama Vendor,Jenis Pengadaan,Durasi Kontrak (hari),HPS,Risk Level,Priority,Predicted Duration
PK-27534,PD Sihombing Irawan,Pengembangan Sistem,249,2422912842,Tinggi,Penting,209 hari
PK-64132,CV Utama Tbk,Pengadaan Jasa,293,3369253587,Tinggi,Penting,253 hari
PK-15646,PD Laksmiwati Haryanto,Lisensi & Perangkat Lunak,110,1405444714,Tinggi,Penting,70 hari
PK-49631,Perum Hidayat Permata (Persero) Tbk,Pengembangan Sistem,253,4389395232,Tinggi,Penting,213 hari
PK-70906,CV Mansur,Pengadaan Barang,221,"351183322,8",Rendah,Penting,181 hari
PK-95296,PT Nashiruddin Tbk,Pengadaan Jasa,47,4729109627,Tinggi,Penting,7 hari
PK-8326,CV Mansur,Pengadaan Barang,50,"813688465,4",Sedang,Penting,10 hari
PK-65201,Perum Utama (Persero) Tbk,Jasa Konsultansi,114,1986392055,Tinggi,Penting,74 hari
PK-61366,PD Laksmiwati Haryanto,Pengadaan Barang,186,3215096428,Tinggi,Penting,146 hari
PK-95103,Perum Januar,Pengadaan Barang,171,2606807905,Tinggi,Penting,131 hari
PK-97062,Perum Utama (Persero) Tbk,Pengadaan Barang,346,1376641314,Tinggi,Penting,306 hari
PK-19854,CV Gunarto (Persero) Tbk,Pengadaan Jasa,107,3139333832,Tinggi,Penting,67 hari
PK-52147,PT Saputra Hasanah,Lisensi & Perangkat Lunak,90,2511583947,Tinggi,Penting,50 hari
PK-18080,CV Gunarto (Persero) Tbk,Lisensi & Perangkat Lunak,333,"171398642,5",Rendah,Penting,293 hari
PK-75325,PT Nainggolan Hakim,Lisensi & Perangkat Lunak,251,"307869436,2",Rendah,Penting,211 hari
PK-6419,CV Marbun,Pengadaan Barang,167,"67140342,57",Rendah,Penting,127 hari
PK-47390,PT Mahendra Usada,Jasa Konsultansi,259,2526696740,Tinggi,Penting,219 hari
PK-44752,Perum Waluyo (Persero) Tbk,Pengadaan Jasa,103,3474924060,Tinggi,Penting,63 hari
PK-78270,PD Ardianto Ardianto,Lisensi & Perangkat Lunak,113,1118104492,Tinggi,Penting,73 hari
PK-74976,UD Maheswara Prastuti,Lisensi & Perangkat Lunak,207,4881402602,Tinggi,Penting,167 hari
PK-16200,PT Halimah,Pengadaan Jasa,320,4817541599,Tinggi,Penting,280 hari
PK-57395,CV Salahudin Tbk,Jasa Konsultansi,94,"624889393,3",Sedang,Penting,54 hari
PK-39710,PD Lazuardi Tbk,Pengadaan Barang,57,"294456559,8",Rendah,Penting,17 hari
PK-59843,Perum Rajata Tbk,Lisensi & Perangkat Lunak,338,3543683106,Tinggi,Penting,298 hari
PK-90433,PT Mahendra Usada,Jasa Konsultansi,167,4260091686,Tinggi,Penting,127 hari
PK-15658,CV Rajasa Setiawan Tbk,Pengadaan Jasa,69,1289732333,Tinggi,Penting,29 hari
PK-15373,UD Lailasari Zulaika (Persero) Tbk,Jasa Konsultansi,234,"968466278,1",Sedang,Penting,194 hari
PK-67190,PD Lazuardi Tbk,Lisensi & Perangkat Lunak,299,"494625377,6",Rendah,Penting,259 hari
PK-18519,CV Jailani Simbolon,Pengembangan Sistem,204,1281264572,Tinggi,Penting,164 hari
PK-77524,CV Andriani Latupono,Lisensi & Perangkat Lunak,306,"913623775,3",Sedang,Penting,266 hari
PK-59681,UD Habibi Namaga,Lisensi & Perangkat Lunak,363,1833232999,Tinggi,Penting,323 hari
PK-82724,PD Usamah Wibisono Tbk,Lisensi & Perangkat Lunak,167,2023101653,Tinggi,Penting,127 hari
PK-13611,UD Iswahyudi Nababan,Jasa Konsultansi,155,1321606940,Tinggi,Penting,115 hari
PK-40942,UD Iswahyudi Nababan,Pengadaan Barang,228,1500863797,Tinggi,Penting,188 hari
PK-50952,CV Salahudin Tbk,Pengadaan Barang,32,2116924703,Tinggi,Penting,-8 hari
PK-13869,Perum Megantara,Pengadaan Jasa,169,"134775311,7",Rendah,Penting,129 hari
PK-66806,PT Latupono Tbk,Pengadaan Jasa,359,3898786704,Tinggi,Penting,319 hari
PK-28160,PT Hastuti Permata,Lisensi & Perangkat Lunak,266,"749737948,8",Sedang,Penting,226 hari
PK-20588,PD Situmorang Wahyudin,Pengadaan Jasa,309,2675685904,Tinggi,Penting,269 hari
PK-61183,Perum Yolanda (Persero) Tbk,Pengembangan Sistem,149,4131402697,Tinggi,Penting,109 hari
PK-10110,UD Jailani Tbk,Jasa Konsultansi,305,4384986885,Tinggi,Penting,265 hari
PK-59806,PD Dongoran Anggriawan (Persero) Tbk,Pengembangan Sistem,289,2898482293,Tinggi,Penting,249 hari
PK-60232,UD Sirait (Persero) Tbk,Lisensi & Perangkat Lunak,303,4302696033,Tinggi,Penting,263 hari
PK-8053,UD Sirait (Persero) Tbk,Pengadaan Barang,335,2573791793,Tinggi,Penting,295 hari
PK-8213,UD Samosir Prayoga Tbk,Jasa Konsultansi,301,1359245690,Tinggi,Penting,261 hari
PK-15523,UD Iswahyudi Nababan,Pengadaan Jasa,300,3449221002,Tinggi,Penting,260 hari
PK-42193,CV Narpati Tbk,Lisensi & Perangkat Lunak,181,1066319045,Tinggi,Penting,141 hari
PK-45412,UD Sirait (Persero) Tbk,Pengembangan Sistem,219,4477794671,Tinggi,Penting,179 hari
PK-68659,Perum Mandala Permadi,Pengembangan Sistem,193,4035158494,Tinggi,Penting,153 hari
PK-29241,PT Mandasari,Jasa Konsultansi,196,1252261880,Tinggi,Penting,156 hari
PK-6265,PT Nainggolan Hakim,Lisensi & Perangkat Lunak,50,3812723613,Tinggi,Penting,10 hari
PK-1741,PD Prasetya Pratama Tbk,Pengembangan Sistem,56,4036645261,Tinggi,Penting,16 hari
PK-65326,Perum Rahayu Firgantoro,Lisensi & Perangkat Lunak,55,"399000530,2",Rendah,Penting,15 hari
PK-39476,UD Maheswara Prastuti,Jasa Konsultansi,82,4849468902,Tinggi,Penting,42 hari
PK-92020,CV Haryanti Dongoran Tbk,Lisensi & Perangkat Lunak,79,2344443378,Tinggi,Penting,39 hari
PK-48319,CV Rahmawati Marpaung Tbk,Pengembangan Sistem,304,2052787801,Tinggi,Penting,264 hari
PK-84889,CV Utama Tbk,Pengadaan Jasa,264,"580121243,7",Sedang,Penting,224 hari
PK-73065,Perum Megantara,Lisensi & Perangkat Lunak,323,1545041231,Tinggi,Penting,283 hari
PK-66298,UD Puspita Tbk,Pengadaan Jasa,276,3695305349,Tinggi,Penting,236 hari
PK-27085,CV Prasetyo,Jasa Konsultansi,231,290563138,Rendah,Penting,191 hari
PK-57017,PD Dongoran Anggriawan (Persero) Tbk,Pengembangan Sistem,150,"549137732,7",Sedang,Penting,110 hari
PK-13172,Perum Winarno,Pengadaan Jasa,199,2669132754,Tinggi,Penting,159 hari
PK-16879,UD Najmudin Tbk,Pengadaan Jasa,146,4368795423,Tinggi,Penting,106 hari
PK-14194,Perum Nababan Haryanti,Pengadaan Barang,114,3501876822,Tinggi,Penting,74 hari
PK-81766,PD Usamah Wibisono Tbk,Pengadaan Barang,285,"217659492,3",Rendah,Penting,245 hari
PK-39388,PT Namaga (Persero) Tbk,Lisensi & Perangkat Lunak,154,4613303325,Tinggi,Penting,114 hari
PK-73228,CV Widiastuti Maulana,Jasa Konsultansi,157,1846737144,Tinggi,Penting,117 hari
PK-88193,CV Narpati Tbk,Pengembangan Sistem,283,4630671537,Tinggi,Penting,243 hari
PK-79174,PD Lazuardi Tbk,Lisensi & Perangkat Lunak,127,4043942123,Tinggi,Penting,87 hari
PK-22038,PD Dongoran Widodo,Pengembangan Sistem,242,4653433809,Tinggi,Penting,202 hari
PK-26418,UD Santoso Puspita (Persero) Tbk,Jasa Konsultansi,37,"918281376,2",Sedang,Penting,-3 hari
PK-13744,CV Marbun,Pengembangan Sistem,165,4802362458,Tinggi,Penting,125 hari
PK-44663,CV Mansur,Jasa Konsultansi,163,1109456784,Tinggi,Penting,123 hari
PK-44110,UD Najmudin Tbk,Pengadaan Barang,284,1270830916,Tinggi,Penting,244 hari
PK-57048,UD Pradana Latupono Tbk,Pengembangan Sistem,269,"596187088,3",Sedang,Penting,229 hari
PK-51593,Perum Winarno,Pengadaan Barang,331,1189412639,Tinggi,Penting,291 hari
PK-78401,UD Siregar (Persero) Tbk,Pengembangan Sistem,37,2314157798,Tinggi,Penting,-3 hari
PK-1446,PT Nainggolan Hakim,Lisensi & Perangkat Lunak,361,3828951819,Tinggi,Penting,321 hari
PK-38526,UD Iswahyudi Nababan,Lisensi & Perangkat Lunak,184,1023844788,Tinggi,Penting,144 hari
PK-34340,CV Yolanda Wijaya,Pengadaan Barang,189,4317470502,Tinggi,Penting,149 hari
PK-39319,UD Prasasta Wahyudin Tbk,Jasa Konsultansi,252,3820120536,Tinggi,Penting,212 hari
PK-88369,CV Haryanti Dongoran Tbk,Lisensi & Perangkat Lunak,341,2493801445,Tinggi,Penting,301 hari
PK-42964,PD Prasetya Pratama Tbk,Pengadaan Jasa,305,1575738503,Tinggi,Penting,265 hari
PK-96945,UD Pradana Latupono Tbk,Jasa Konsultansi,74,4265020734,Tinggi,Penting,34 hari
PK-50658,CV Haryanti Dongoran Tbk,Pengembangan Sistem,170,4384963439,Tinggi,Penting,130 hari
PK-48845,Perum Utami,Lisensi & Perangkat Lunak,348,3839697665,Tinggi,Penting,308 hari
PK-59350,Perum Megantara,Pengadaan Barang,120,1088161977,Tinggi,Penting,80 hari
PK-95548,PT Wibisono Winarsih (Persero) Tbk,Lisensi & Perangkat Lunak,75,1358328564,Tinggi,Penting,35 hari
PK-25424,Perum Winarno,Jasa Konsultansi,103,4581971153,Tinggi,Penting,63 hari
PK-21209,CV Andriani Latupono,Pengadaan Jasa,357,4072965983,Tinggi,Penting,317 hari
PK-46792,PT Anggraini Permadi Tbk,Pengembangan Sistem,298,3110976541,Tinggi,Penting,258 hari
